"","entity_id","name","min"
"163","1628380","Zach Collins",779
"164","1628381","John Collins",1697.6
"165","1628382","Justin Jackson",1185.25
"166","1628383","Justin Patton",247
"167","1628384","OG Anunoby",1607.2
"168","1628385","Harry Giles III",611.666666666667
"169","1628386","Jarrett Allen",1812.6
"170","1628387","Ike Anigbogu",30
"171","1628388","TJ Leaf",401
"172","1628389","Bam Adebayo",1920.6
"173","1628390","Terrance Ferguson",1317
"174","1628391","D.J. Wilson",437.25
"175","1628392","Isaiah Hartenstein",547.75
"176","1628393","Jawun Evans",421
"177","1628394","Anzejs Pasecniks",437
"178","1628395","Jordan Bell",483.75
"179","1628396","Tony Bradley",387.2
"180","1628397","Ivan Rabb",618.5
"181","1628398","Kyle Kuzma",2079.8
"182","1628399","Tyler Lydon",94
"183","1628400","Semi Ojeleye",822.2
"184","1628401","Derrick White",1345.2
"185","1628402","Frank Jackson",953.25
"186","1628403","Caleb Swanigan",218.333333333333
"187","1628404","Josh Hart",1614
"188","1628405","Johnathan Motley",124.333333333333
"189","1628407","Dwayne Bacon",1003
"190","1628408","P.J. Dozier",340
"192","1628409","Alec Peters",225
"193","1628410","Edmond Sumner",506
"194","1628411","Wes Iwundu",764.6
"195","1628412","Frank Mason",404
"196","1628413","Jonah Bolden",343
"197","1628414","Sindarius Thornwell",430.25
"198","1628415","Dillon Brooks",1524.8
"199","1628416","Tyler Dorsey",836
"200","1628417","Jaron Blossomgame",439
"201","1628418","Thomas Bryant",679
"202","1628419","Cameron Oliver",87
"203","1628420","Monte Morris",1745.75
"204","1628421","Devin Robinson",95
"205","1628422","Damyean Dotson",1055.25
"206","1628424","Kobi Simmons",643
"207","1628425","Sterling Brown",884
"208","1628427","Vlatko Cancar",159.333333333333
"209","1628429","Charles Cooke",38
"210","1628430","Nigel Williams-Goss",50
"211","1628432","Davon Reed",300
"212","1628436","Luke Kornet",416.8
"213","1628439","Isaiah Hicks",135.5
"214","1628443","Kadeem Allen",213.333333333333
"215","1628444","Jabari Bird",115
"216","1628449","Chris Boucher",1006.75
"217","1628451","Jacob Wiley",33
"218","1628455","Mike James",461
"219","1628462","Milos Teodosic",642
"220","1628463","Tyler Cavanaugh",278.5
"221","1628464","Daniel Theis",1180.2
"222","1628467","Maxi Kleber",1477.8
"223","1628469","Antonio Blakeney",571.5
"224","1628470","Torrey Craig",1105
"225","1628476","Derrick Walton Jr.",167.666666666667
"226","1628492","Gian Clavell",64
"227","1628495","Milton Doyle",125
"228","1628499","Antonius Cleveland",84
"229","1628502","Nigel Hayes",122
"230","1628503","Jamel Artis",279
"231","1628504","Xavier Rathan-Mayes",118
"232","1628506","London Perrantes",66
"233","1628510","Andrew White III",209
"234","1628513","Naz Mitrou-Long",65.5
"235","1628515","Isaiah Briscoe",559
"236","1628518","Amile Jefferson",71
"237","1628537","Jaylen Morris",63
"238","1628539","Mychal Mulder",388.333333333333
"239","1628605","Dusty Hannahs",26
"240","1628656","Billy Garrett",63
"241","1628681","Rodney Purvis",290
"242","1628778","Paul Watson",180
"243","1628935","Aaron Jackson",34
"244","1628959","Rawle Alkins",120
"245","1628960","Grayson Allen",1043.25
"246","1628961","Kostas Antetokounmpo",56
"247","1628962","Udoka Azubuike",126
"248","1628963","Marvin Bagley III",1039.75
"249","1628964","Mo Bamba",1033
"250","1628966","Keita Bates-Diop",593
"251","1628968","Brian Bowen II",31
"252","1628969","Mikal Bridges",2393.25
"253","1628970","Miles Bridges",2086
"254","1628971","Bruce Brown",1541.25
"255","1628972","Troy Brown Jr.",1005
"256","1628973","Jalen Brunson",1688
"257","1628975","Jevon Carter",770.5
"258","1628976","Wendell Carter Jr.",1398.25
"259","1628977","Hamidou Diallo",979.25
"260","1628978","Donte DiVincenzo",1168.5
"261","1628980","Jacob Evans",311
"262","1628981","Bruno Fernando",364
"263","1628982","Melvin Frazier Jr.",85
"264","1628983","Shai Gilgeous-Alexander",1931.25
"265","1628984","Devonte' Graham",1663
"266","1628985","Devon Hall",81
"267","1628987","Kevin Hervey",52
"268","1628988","Aaron Holiday",1099.25
"269","1628989","Kevin Huerter",2000.75
"270","1628990","Chandler Hutchison",589.333333333333
"271","1628991","Jaren Jackson Jr.",1359.25
"272","1628993","Alize Johnson",134.5
"273","1628995","Kevin Knox",2158
"275","1628997","Caleb Martin",818
"276","1628998","Cody Martin",1172
"277","1629001","De'Anthony Melton",1188.25
"278","1629002","Chimezie Metu",484.5
"279","1629003","Shake Milton",905
"280","1629004","Svi Mykhailiuk",934.25
"281","1629006","Josh Okogie",1244.75
"282","1629008","Michael Porter Jr.",1026.66666666667
"283","1629010","Jerome Robinson",534.666666666667
"284","1629011","Mitchell Robinson",1368.25
"285","1629012","Collin Sexton",1794.75
"286","1629013","Landry Shamet",1500.5
"287","1629014","Anfernee Simons",1093.5
"288","1629015","Zhaire Smith",71.5
"289","1629016","Omari Spellman",845.5
"290","1629017","Khyri Thomas",136.333333333333
"291","1629018","Gary Trent Jr.",1387.5
"292","1629019","Allonzo Trier",874.5
"293","1629020","Jarred Vanderbilt",767.25
"294","1629021","Moritz Wagner",721
"295","1629022","Lonnie Walker IV",1048.25
"296","1629023","P.J. Washington",1787
"297","1629026","Kenrich Williams",1102.25
"298","1629027","Trae Young",2313.75
"299","1629028","Deandre Ayton",1796.5
"300","1629029","Luka Doncic",2207
"301","1629033","Theo Pinson",232
"302","1629034","Ray Spalding",148
"303","1629035","Carsen Edwards",313.5
"304","1629045","Bonzie Colson",98
"305","1629048","Goga Bitadze",587
"306","1629052","Oshae Brissett",707.666666666667
"307","1629056","Terence Davis",939.666666666667
"308","1629057","Robert Williams III",865
"309","1629058","Dzanan Musa",263
"310","1629059","Elie Okobo",838.5
"311","1629060","Rui Hachimura",1351.66666666667
"312","1629061","Deng Adel",194
"313","1629065","Ky Bowman",1015
"314","1629066","Rodions Kurucs",701
"315","1629067","Isaac Bonga",467.75
"316","1629076","Tyler Cook",229
"317","1629094","Marcus Derrickson",67
"318","1629102","Brandon Sampson",214
"319","1629103","Kelan Martin",422.333333333333
"320","1629109","Gary Clark",548.5
"321","1629111","Jock Landale",556
"322","1629117","Wenyen Gabriel",248.666666666667
"323","1629118","Thomas Welsh",36
"324","1629121","Jaylen Adams",428
"325","1629123","Jared Terrell",111
"326","1629126","Deonte Burton",298
"327","1629130","Duncan Robinson",1641
"328","1629133","Daryl Macon",90
"329","1629134","Kendrick Nunn",1806
"330","1629139","Yuta Watanabe",356
"331","1629140","Johnathan Williams",276
"332","1629147","Joe Chealey",33
"333","1629151","Ryan Broekhoff",316.5
"334","1629162","Jordan McLaughlin",789.333333333333
"335","1629164","Brandon Goodwin",399.75
"336","1629168","BJ Johnson",66
"337","1629185","Chris Chiozza",259.5
"338","1629203","Jemerrio Jones",143
"339","1629216","Gabe Vincent",758.333333333333
"340","1629234","Drew Eubanks",573
"341","1629244","Cameron Reynolds",259
"342","1629308","Juan Toscano-Anderson",782.333333333333
"343","1629312","Haywood Highsmith",80
"344","1629346","Alen Smailagic",111.5
"345","1629353","Isaac Humphries",56
"346","1629541","Dairis Bertans",167
"347","1629597","Zylan Cheatham",51
"348","1629598","Chris Clemons",291
"349","1629599","Amir Coffey",688.333333333333
"350","1629603","Mamadi Diakite",164.5
"351","1629604","CJ Elleby",622
"352","1629605","Tacko Fall",84.5
"353","1629606","Robert Franks",101
"354","1629610","DaQuan Jeffries",317
"355","1629611","Terance Mann",1292
"356","1629617","Reggie Perry",157
"357","1629620","Justin Robinson",147
"358","1629622","Max Strus",1024
"359","1629623","Lindell Wigginton",151
"360","1629625","Justin Wright-Foreman",45
"361","1629626","Bol Bol",109.333333333333
"362","1629627","Zion Williamson",1347
"363","1629628","RJ Barrett",2190.66666666667
"364","1629629","Cam Reddish",1104.33333333333
"365","1629630","Ja Morant",1996.33333333333
"366","1629631","De'Andre Hunter",1383.66666666667
"367","1629632","Coby White",1803.66666666667
"368","1629633","Jarrett Culver",770.333333333333
"369","1629634","Brandon Clarke",1303.33333333333
"370","1629635","Sekou Doumbouya",811.5
"371","1629636","Darius Garland",1979.66666666667
"372","1629637","Jaxson Hayes",1115.66666666667
"373","1629638","Nickeil Alexander-Walker",1014.66666666667
"374","1629639","Tyler Herro",1742.33333333333
"375","1629640","Keldon Johnson",1520
"376","1629641","Romeo Langford",467.666666666667
"377","1629642","Nassir Little",767
"378","1629643","Chuma Okeke",1392.5
"379","1629644","KZ Okpala",345.5
"380","1629645","Kevin Porter Jr.",1261
"381","1629646","Charles Bassey",168
"382","1629647","Darius Bazley",1589.33333333333
"383","1629648","Jordan Bone",124.5
"384","1629649","Ignas Brazdeikis",248.333333333333
"385","1629650","Moses Brown",419
"386","1629651","Nic Claxton",885
"388","1629652","Luguentz Dort",1342.66666666667
"389","1629653","Devon Dotson",85
"390","1629655","Daniel Gafford",917
"391","1629656","Quentin Grimes",786
"392","1629657","Kyle Guy",210.5
"393","1629658","Jaylen Hoard",211.5
"394","1629659","Talen Horton-Tucker",930
"395","1629660","Ty Jerome",639
"396","1629661","Cameron Johnson",1440
"397","1629662","Mfiondu Kabengele",172
"398","1629663","Louis King",83.6666666666667
"399","1629665","Jalen Lecque",32
"400","1629667","Jalen McDaniels",673
"401","1629668","Zach Norvell Jr.",41
"402","1629669","Jaylen Nowell",612.666666666667
"403","1629670","Jordan Nwora",702.5
"404","1629671","Miye Oni",314
"405","1629672","Eric Paschall",1024.33333333333
"406","1629673","Jordan Poole",1483.33333333333
"407","1629674","Neemias Queta",71
